id;name;level;image
1;Computer;ROI teal Frozen;bluetooth
2;Buckinghamshire;Arkansas 24/365 JSON;Strategist extend
3;Home Future;driver Concrete;Triple-buffered directional composite
4;Dynamic;Maryland Granite;attitude-oriented New adapter
5;Mouse Cambridgeshire;transform copy Tuna;frictionless plum
6;Response;Wisconsin connecting;Portugal
7;Inverse unleash;Wooden;initiative
8;Suriname;e-enable Metal;Agent
9;Shoes Internal Beauty;asynchronous navigating synthesizing;empowering PCI
10;cross-media Trinidad Intelligent;non-volatile;Open-source back-end channels
