id;quantity;price;unit;note
1;22526;98079;Sports Malta;standardization Pizza
2;27567;10135;Shoes;quantify
3;14793;22984;Rupee back Response;wireless Ameliorated Metal
4;38157;98443;Associate Up-sized navigating;Islands Cotton Dong
5;93697;67282;Chicken West;Turkey application Reactive
6;76711;51289;Idaho Music Concrete;copying embrace
7;37855;93647;Fundamental dynamic;overriding Awesome Italy
8;14768;32179;Avon;payment
9;97674;80877;Open-architected paradigms;AGP Directives bypassing
10;50462;49494;invoice;deposit
