id;name;price;unit;description;status;course_id
1;Quality Cambridgeshire solid;76113;37350;port calculating;sky;97409
2;sky paradigms Route;26345;50240;HDD Steel Western;invoice Sharable;40626
3;synthesize compress;36332;53573;reboot Brand;generation enterprise Producer;99194
4;Bedfordshire;91712;6868;Forest;productize Berkshire;64788
5;Kansas invoice Metal;14441;23281;XSS Director;e-business Tasty;16996
6;Carolina Borders Bedfordshire;88671;50023;Tasty digital Saint;redundant Human;57885
7;well-modulated Plastic Pants;35382;83916;Islands leverage productivity;Human;69820
8;Fresh Principal Hat;18990;26810;gold;Tuna Avon Borders;94952
9;Chair;21757;39798;disintermediate fresh-thinking e-business;Gloves Executive Shilling;24056
10;Consultant Accountability Rand;72566;96247;Account Fresh;Jewelery;57631
